wavelength,QE
278.43405381561536, 0.1316718129686727
281.59682399647113, 1.5086016762240821
291.2505513895016, 4.1423687692986295
295.3528892809881, 7.016210851345386
297.35774150860163, 8.872298191442432
302.5915306572563, 11.506506396118215
305.5955006616674, 14.320577856197618
310.80282311424793, 17.194309660344068
313.85310983678875, 19.5892148213498
316.90339655932945, 21.984119982355537
319.9735333039258, 24.19938244375827
330.64622849580945, 27.611490957212176
325.2999558888399, 25.995258050286722
338.2686369651522, 28.62869430966034
343.69430966034406, 29.526356418173794
355.816056462285, 29.824547860608735
366.8989854433171, 29.52404058226731
374.660344067049, 29.28374503749448
384.6449051610056, 28.923467137185707
396.859285399206, 28.383325981473316
404.6801940891045, 27.60410233789149
412.48786943096604, 26.94464049404499
419.2037935597707, 26.165527128363472
427.01808557565073, 25.446184384649314
432.6356418173798, 24.60730039700044
440.46978385531537, 23.708314953683278
446.1071901191001, 22.689788266431403
455.09263343625935, 21.37152624614027
464.0714600794001, 20.113145125716805
468.58403176003526, 19.274371415968236
474.2148213498016, 18.315725628584033
482.08866343184826, 17.057454786060873
489.97573886193203, 15.679422143802384
496.73136303484785, 14.541023378914865
504.60520511689464, 13.282752536391703
513.5972651080724, 11.904609616232907
521.4777238641376, 10.586457873842082
528.266431407146, 9.14865460961623
537.2518747243053, 7.8303925893251
545.1323334803706, 6.512240846934276
551.9144243493604, 5.134318482576088
557.5452139391266, 4.175672695191881
565.3727393030437, 3.3365681517423758
575.4367004852228, 2.2577194530216174
586.5725628584032, 1.478164975738855
598.793559770622, 0.8781429201587798
613.2112924569916, 0.39766210851345374
626.5108072342305, 0.03705337450374735
