wavelength,QE
198.07905532764156, 22.450732224493784
160.86705843219872, 13.604887283172353
299.4467235835458, 23.108972647764737
399.6657057323427, 20.58638659682806
490.3226521787337, 14.553873015798013
564.1257345603725, 9.25464789939124
627.1210777248032, 5.14249588224301
696.2440403592417, 2.2677071861779265
741.1747422108881, 1.1443721147614199
767.9166204679011, 0.7138086940695141
789.8192704290941, 0.458296487231469
810.5344273201022, 0.2804105457622877
833.7565140259452, 0.1361573619265078
853.4665705732343, 0.05048395611374736
862.2253021399268, 0.023360561920052595
867.2585652511366, 0.014020527288114348
144.88635103670023, 1.4009355844335147
147.92493624570355, 5.941889834199828
166.7967623905088, 17.64599310400789
177.58897882248579, 20.986831546995965
246.3510367002994, 22.66803560685676
218.596296706952, 22.450732224493795
272.9027608382303, 22.668035606856773
322.38551945891993, 22.668035606856783
351.3549173966071, 22.450732224493784
374.30535536090457, 21.39506592428657
433.5014968400044, 18.51667423766331
462.50970174076946, 16.655046441057944
533.8679454484976, 11.439161106433303
598.0274975052666, 7.066841763234987
664.6939793768711, 3.4646193671142558
725.3841889344719, 1.4700599559349272
804.4262113316332, 0.33672742583415505
